Color;R;G;B
Leatherette-Trimmed Seating Surf;160;130;90
Atlas Beige / Black;210;180;140
Black/Express Red Stitch;128;0;0
Black w/Dark Silver Sttch;0;0;0
Taupe/Pearl Beige;158;154;134
Dark Gray/Cedar;80;70;60
BELGRAVIA GREEN;34;139;34
Sedona/Jet Black;0;0;0
Black/black;0;0;0
Claret Red;128;0;0
Offshore Blue;0;0;255
Blue Clearcoat;0;0;255
Cavalry Blue;0;0;205
Aviator Gray;128;128;128
Acorn w/Wood BlackTrim;139;69;19
Berry Red/Charcoal;142;42;37
Ebony seats with Ebony interior accents;0;0;0
Titanium Beige;222;205;187
Ebony Perforated Milano;0;0;0
STONE BLUE METALLIC;100;149;237
Moonstone Gray Metallic;190;190;190
Glacier White Qak;255;255;255
Dark Moss Green Metallic;85;107;47
Black Perforated Veganza;0;0;0
EBONY PREMIUM LEATHER;0;0;0
SILVER RADIANCE CLEARCOAT;192;192;192
CHALK GREY;211;211;211
Solano Black Pearl Metallic;0;0;0
BURGUNDY VELVET METALLIC;128;0;32
Atlas Beige / Gray;169;154;134
Aluminum Silver Metallic;192;192;192
Dark Slate Gray;47;79;79
Ocean Blue;0;105;148
Palomino w/Matte Walnut Open Pore;101;67;33
MINI Yours Satellite Gray;128;128;128
Black w/Guards Red Stitch;128;0;0
Liquid Carbon Metallic - GT;54;69;79
Stratus Gray;128;128;128
GLACIER WHITE;255;255;255
Bright White Clear Coat (pw7);255;255;255
Acorn with Ebony Headlining;139;69;19
Graphite, cloth;64;64;64
White Platinum;240;240;240
Teak Br Metallic;160;82;45
Brick Red;178;34;34
Touring;128;128;128
Cognac Perforated SensaTec;139;69;19
Sizzling Crimso;220;20;60
Almond Beige;239;222;205
Granite Crystal Clearcoat Metallic;112;128;144
Beige Up;245;245;220
Ebony / Titanium;0;0;0
Deep Bordeaux;128;0;32
Ebony/Saffron interior;128;102;0
Nimbus Gray Pearl Effect;169;169;169
Go Mango!;255;165;0
Sea Salt/Black;128;128;128
Cool Vanilla Clearcoat;245;245;220
CRYSTAL WHITE PEARL METAL;255;255;255
Charcoal Fusion;54;69;79
Snazzberry Pearlcoat;220;20;60
John Cooper Works Black;0;0;0
Chestnut With Ebony Interior Accents;150;75;0
CHARCOAL BLACK W/LT STONE CLTH;0;0;0
Cloud 9 White;255;255;255
Ebony w/Ivory Headlining and Ebony/Ivory IP;128;128;128
CUTTING EDGE;128;128;128
Polar Beige;245;245;220
Cardinal Red;255;0;0
Garnet Pearl Metallic;115;0;0
Whisper Beige seats;245;245;220
Electric Storm Blue;0;191;255
Ebony/Smoke Gray Leather;64;64;64
Black w/Red Stitching;128;0;0
R780/Charcoal;54;69;79
Copper Crest;184;115;51
Gentian Blue;0;0;205
Baltic Blue;0;0;139
Light Mountain Brown/Black;101;67;33
Carmelo;139;69;19
Black w/Alcantara w/Premium Milano Leather-Trimmed;0;0;0
Celadon;172;225;175
Forest Mist Metallic;119;136;153
Sand Beige Metallic;210;180;140
Chai Bronze;205;127;50
Taruma Brown;101;67;33
Bemina Grey Amber Effect;184;134;11
designo Magno Iridium Silver;192;192;192
Magnetic Pearl;211;211;211
Dark Gray Metallic;64;64;64
Dolphin Gray Mica;128;128;128
designo Selenite Grey Magno (Matte Finish);112;128;144
Cherry Black;0;0;0
Dark Frost Beige / Medium Frost Bei;210;180;140
Solid Black;0;0;0
Silverstone Metallic;192;192;192
Velocity Blue Metallic;0;0;255
Light Oyster/Ebony - 304RE;245;245;220
White Opal;255;255;255
Mineral Gray Clearcoat Metallic;128;128;128
MANUFAKTUR Alpine Grey;128;128;128
Trd Off-Road Fabric In Ce;128;128;128
Twilight Black S3b;0;0;0
Cocoa;123;63;0
Billet Clearcoat Metallic;192;192;192
GS;128;128;128
Jet Black, Leather seating surfaces;0;0;0
Green Tea Metallic;144;238;144
Dark Side;64;64;64
Labrador Black Pea;0;0;0
SensaTec Leatherette Upho;160;130;90
Frostbite;176;224;230
Special Paint;128;128;128
Ice Cap White;255;255;255
