Color;R;G;B
Graphite Mica;54;69;79
Graphite Pearl;180;180;180
Graphite Shadow;40;40;40
Graphite Shadow / Black Obsidian;30;30;30
Graphite Shadow Kad;40;40;40
Graphite Shadow Metallic;40;40;40
Graphite Shadow/Black Obsidian;30;30;30
Graphite Steel;112;128;144
Graphite leather;60;60;60
Graphite w/ Red Stitching;54;69;79
Graphite w/Gun Metal;42;52;57
Graphite w/Red Stitch;54;69;79
Graphite with Leather;60;60;60
Graphite with Red Stitch;54;69;79
Graphite, cloth;100;100;100
Graphite/Stone;83;99;112
Graphite/Titanium;160;160;160
Graphite/White Stitching;54;69;79
Grasmere Green;34;139;34
Gravity Blue;0;70;160
Gravity Blue B4u;0;70;160
Gravity Gold (Matte Gold);255;215;0
Gravity Gold Matte;255;215;0
Gravity Gray;128;128;128
Gravity Gray - KDG;128;128;128
Gravity Grey;128;128;128
Gravity Grey - KDG;128;128;128
Gray;128;128;128
Gray & Black;64;64;64
Gray (Dravit Grey Metallic);112;128;144
Gray (k);128;128;128
Gray - GR;128;128;128
Gray / Black;64;64;64
Gray / Blue;100;120;140
Gray / Carbon Black;50;50;50
Gray / Dark Gray;80;80;80
Gray / Red;128;0;0
Gray / Silver;192;192;192
Gray / Steel;112;128;144
Gray / White;211;211;211
Gray 2-Tone;128;128;128
Gray 83c;128;128;128
Gray Bf6;128;128;128
Gray Cloth;128;128;128
Gray Cloth Interior;128;128;128
Gray Cloth and Leather;128;128;128
Gray Cloudtex  & Cloth;128;128;128
Gray Cray;128;128;128
Gray Flannel;128;128;128
Gray Flannel Metallic;112;128;144
Gray Gc;128;128;128
Gray Ghost Metallic;192;192;192
Gray Green Metallic;112;128;144
Gray Leather;105;105;105
Gray Matte;128;128;128
Gray Melange;119;136;153
Gray Metallic;112;128;144
Gray Partial Leather;128;128;128
Gray Pearl;211;211;211
Gray Seats With Slate Blue Interior Accents;112;128;144
Gray Sky Pearl;211;211;211
Gray Sport;128;128;128
Gray Two Tone Leather;105;105;105
Gray W/Orange Stitching;128;64;0
Gray White;211;211;211
Gray and Black;64;64;64
Gray w/ Black Seats;64;64;64
Gray w/Black Bolsters;64;64;64
Gray w/Blue Accent;100;120;140
Gray w/Blue Bolsters;100;120;140
Gray w/Blue Piping;100;120;140
Gray w/Brown Bolsters;101;67;33
Gray w/Orange Stitching;128;64;0
Gray w/Pure White;211;211;211
Gray w/Yellow Stitching;128;128;0
Gray**NAVIGATION SYSTEM**PANORAMIC ROOF**AWD**;128;128;128
Gray**PERFORMANCE**AWD;128;128;128
Gray/Black;64;64;64
Gray/Black Trim;64;64;64
Gray/Blue;100;120;140
Gray/Carbon Black;50;50;50
Gray/Dark Charcoal;80;80;80
Gray/Dark Gray;80;80;80
Gray/Drk Charcoal;80;80;80
Gray/Gray;128;128;128
Gray/Green 3-Tone;85;107;47
Gray/Red;128;0;0
Gray/Silver;192;192;192
Gray/Steel;112;128;144
Gray/Super Black;0;0;0
Gray/White;211;211;211
Gray/red;128;0;0
Graystone;112;128;144
Graystone Leather;105;105;105
Graystone Metallic;112;128;144
Graystone W Perforated Milano Premium Trimmed Inte;112;128;144
Graystone w/Leatherette-Trimmed Interior;105;105;105
Graywood Metallic;112;128;144
Great Falls Green;34;139;34
Great Falls Green Metallic;34;139;34
Grecian Blue;0;70;160
Grecian Water;0;191;255
Greeb;0;128;0
Green;0;128;0
Green / Beige;160;130;100
Green / Black;0;100;0
Green Apple;141;182;0
Green Clearcoat Metallic;34;139;34
Green Gem;0;128;0
Green Gem Metallic;34;139;34
Green Go Clear Coat;34;139;34
Green Go Clearcoat;34;139;34
Green Matte;0;128;0
Green Metallic;34;139;34
Green Pearl;144;238;144
Green Silk;60;179;113
Green Tea Metallic;152;251;152
Green and White;173;216;230
Green w/ Custom strips and carbon;0;128;0
Green/Black;0;100;0
Green/Blue;0;128;128
Greenstone;85;107;47
Greige;190;190;190
Greige/Black;128;128;128
Grenadine Metallic;255;0;0
Grey;128;128;128
Grey / Black;64;64;64
Grey Blue Vescin;70;130;180
Grey Blue Vescin Tcj1;70;130;180
Grey Carbon Black;50;50;50
Grey Cloth with Orange Stitching;128;64;0
Grey Flannel;128;128;128
Grey Leather;105;105;105
Grey Matte;128;128;128
Grey Melange;119;136;153
Grey Melange Textile;119;136;153
Grey Metal;112;128;144
Grey Metallic;112;128;144
Grey Metallic Selenite;192;192;192
Grey White;211;211;211
Grey-Beige;190;190;190
Grey/Black;64;64;64
Grey/Black Fabric;64;64;64
Grey/Blue;100;120;140
Grey/Blue Vesc;70;130;180
Grey/Carbon Black;50;50;50
Grey/Carbon Black Leatherette;50;50;50
Grey/Dk Grey;80;80;80
Grey/Teal;0;128;128
Greyblack;64;64;64
Greystone;112;128;144
Grigio & Black;64;64;64
Grigio Metallic;128;128;128
Grigio Telesto Pearl Metallic;180;180;180
Grigio With Red Crust;128;0;0
Grigio/Titan Black;80;80;80
Gry & Blk;64;64;64
Gry Clth;128;128;128
Gry Lth;105;105;105
Gry Lth-Trmmed;105;105;105
Gry&Blk;64;64;64
Gry/Gray;128;128;128
Gry/Lt Gry;192;192;192
Grystn Lthr Trim;105;105;105
Grystn Perforated;128;128;128
Grystn Perforated Milano;128;128;128
Grystone Perf Prem Milano;112;128;144
Guard (hn);128;128;128
Guard Metallic;112;128;144
Guardian Gray;128;128;128
Guards Red;255;0;0
Gulf Blue;0;70;160
Gun;64;64;64
Gun Metallic;42;52;57
Gun Metallic (kad);42;52;57
Gun Metallic Kad;42;52;57
Gun Metallic Pearl Metallic;180;180;180
Gun Metallic [G;42;52;57
Gun Metallic/Monarch Orange;255;140;0
Gun Metallic/Super Black;0;0;0
Gunmetal Blue Mica;54;69;79
Gunmetal Grey Pearl Metallic;180;180;180
Gunmetal Metallic;42;52;57
Gunmetal Metallic - GN;42;52;57
Gunmetal Pearl;180;180;180
Gx;128;128;128
Gy;128;128;128
H-Tex Leatherette Seating Surfac;105;105;105
HAKUBA SILVER;192;192;192
HAZELNUT LUXURY LEATHER TRIM;210;180;140
HELLAYELLA CLEAR COAT;255;255;255
HIGHLAND TAN LEATHER;210;180;140
HIGHWEAR NUANCE LEATHER SEAT TRIM;169;169;169
HORIZON BLU PRL;0;0;205
HORIZON BLUE METALLIC WITH BLACK ROOF WITH BLACK MIRROR CAPS;70;130;180
HOT PEPPER RED MET TINT CC;255;69;0
HOT PEPPER RED METALLIC TC;255;69;0
HOT PEPPER RED TC;255;0;0
HOT TAMALE;255;0;0
Habanero;255;69;0
Habanero Orange Metallic;255;165;0
Hagane Blue;0;0;255
Hai Gray;128;128;128
Hainan Blue Metallic;0;70;160
Hakone Green;34;139;34
Hakuba Silver;192;192;192
Hakuba Silver Metallic;192;192;192
Hakuba Silver Metallic - 1DU;192;192;192
Halo;255;255;0
Halo Pearlcoat;255;255;255
Hampton Gray;128;128;128
Hampton Gray Metallic;112;128;144
Harbor Blue;0;70;160
Harbor Blue Metallic;0;70;160
Harbor Blue w/Baken Black Accents;0;70;160
Harbor Gray;128;128;128
Harbor Gray Metallic;112;128;144
Harbor Gray Pearl;211;211;211
Harbor Gray/Obsidian Black;64;64;64
Harbor Mist Gray Pearl;211;211;211
Harbour Blue;0;70;160
Harvest Beige;210;180;140
Harvest Bronze;205;127;50
Harvest Bronze w/Dark Smoked Truffle;139;69;19
Harvest Gold;255;215;0
Harvest Gold Metallic;255;215;0
Hatchback;128;128;128
Havana Brown Metallic;101;67;33
Havana Metallic;101;67;33
Havanna Black Metallic;0;0;0
Havanna Sand Beige;203;189;147
Hazel;210;180;140
Hazelnut;210;180;140
Hazlenut Prem Trim;210;180;140
Header Orange Clearcoat;255;140;0
Header Red;255;0;0
Heated Leather;101;67;33
Heated Seats;105;105;105
Heather Gray Metallic;112;128;144
Heaven Blue Metallic;0;191;255
Heavy Metal;105;105;105
Heavy Metal/Black;0;0;0
Helios Yellow Pearl;255;255;0
Hellayella (Yellow);255;255;0
Hellayella Clearcoat;255;255;255
Hellraisen Black;0;0;0
Hellraisin;101;67;33
Hellrot  (Bright Red);255;0;0
Hematite Metallic;105;105;105
Hemi Orange Pearl Coat;255;165;0
Hemi Orange Pearlcoat;255;165;0
Heritage Blue;0;70;160
Heritage Blue Metallic;0;70;160
Heritage Blue/Gray Scape;128;128;128
Heritage Tan;210;180;140
Heritage Tan/Black;101;67;33
Hermosa Blue;0;70;160
Hermosa Blue Pearl;0;191;255
Hertiage Blue;0;70;160
HiChroma Red;255;0;0
Hickory;210;105;30
High Contrast Graphite;54;69;79
High Contrast Wheat;245;222;179
High Dollar Custom Tan;210;180;140
High Tech Silver Metallic;192;192;192
High Velocity;112;128;144
High Velocity Clearcoat;112;128;144
Highclass Gray Metallic;112;128;144
Highland Tan;210;180;140
Hockenheim Silver Metallic;192;192;192
Holland Blue;0;70;160
Horizon Blue;0;70;160
Horizon Blue Metallic;0;70;160
Horizon Blue Pearl;0;191;255
Horizon Blue Pearl Hbp;0;191;255
Hot Chocolate;123;63;0
Hot Chocolate Metallic;123;63;0
Hot Coral;255;127;80
Hot Orange Metallic;255;165;0
Hot Pepper Red Metallic Tinted Clearcoat;255;69;0
Hot Pepper Red Tinted Clearcoat;255;69;0
Hot Pink Pearl;255;105;180
Hot Tamale;255;0;0
Hse;128;128;128
Hunter Green Pearlcoat;34;139;34
Hunter Metallic;34;139;34
Hydro Blue;0;70;160
Hydro Blue Pearl;0;191;255
Hydro Blue Pearl Coat;0;191;255
Hydro Blue Pearlc;0;191;255
Hydro Blue Pearlcoat;0;191;255
Hyper Blue;0;0;255
Hyper Blue Metallic;0;0;205
Hyper Red;255;0;0
Hyper Silver Metallic;192;192;192
Hyper White;255;255;255
Hypergreen;0;128;0
Hypergreen Clearcoat;34;139;34
Hypersonic Gray Metallic;112;128;144
Hypersonic Red;255;0;0
IBIS WHITE;255;255;255
IBIS WHT;255;255;255
ICE Silver Metallic;192;192;192
ICED MOCHA;112;66;20
ICED MOCHA METALLIC;112;66;20
ICED MOCHA PREMIUM COLORANT;112;66;20
ICONIC SILVER;192;192;192
ICONIC SILVER METALLIC;192;192;192
INCOGNITO;128;128;128
INDIGO;75;0;130
INDUS SILVER;192;192;192
INDUS SILVER METALLIC;192;192;192
INFINITE B;0;0;0
INFINITE BLACK;0;0;0
INFINITE BLACK MET CC;0;0;0
INFINITE BLACK METALLIC;0;0;0
INGOT SILVER;192;192;192
INGOT SILVER METALLIC;192;192;192
IRIDIUM;112;128;144
IVORY;255;255;240
IVORY PEARL TRI COAT;255;255;240
Ibis White;255;255;255
Ibis White w/ Black Roof;211;211;211
Ibis White/Black Roof;211;211;211
Ibis White/Ice Silver;211;211;211
Ibiza Blue;0;70;160
Ibiza Blue Pearl;0;191;255
Ice;173;216;230
Ice Blue;173;216;230
Ice Blue Metallic;173;216;230
Ice Cap;255;255;255
Ice Cap White;255;255;255
Ice Cap/Midnight Black Metallic;64;64;64
Ice Edge;173;216;230
Ice Green Metallic;152;251;152
Ice Grey;211;211;211
Ice Grey Metallic;211;211;211
Ice Pearl;255;255;255
Ice Silver;192;192;192
Ice Silver Metallic Ism;192;192;192
Ice Silver Pearlcoat;211;211;211
Ice Sliver Metallic;192;192;192
Ice Storm;176;196;222
Ice White;255;255;255
Ice White [White];255;255;255
Iceberg;70;130;180
Iceberg / Blue Eclipse Metallic;70;130;180
Iceberg / Radiant Green Mica;0;255;127
Iceberg Green;0;128;0
Iceberg White;255;255;255
Iced Blue Silver Metallic;173;216;230
Iced Chocolate Metallic;112;66;20
Iced Edge;173;216;230
Iced Mocha;112;66;20
Iced Mocha Met;112;66;20
Iced Mocha Metallic;112;66;20
Iced Mocha Metallic Premium Colorant;112;66;20
Iceland Green/Black;0;100;0
Iconic Silver;192;192;192
Iconic Silver Metallic;192;192;192
Icy Sunshine Bl;255;255;0
Icy Sunshine Blue;0;191;255
Icy Sunshine Blue Metallic;0;191;255
Icy White SV Bespoke Special Effect Gloss;255;255;255
Icy White SV Bespoke Special Effect Satin;255;255;255
Icy White [White];255;255;255
Ignition Orange Clearcoat;255;140;0
Ignition Red;255;0;0
Ikazuchi Yellow Pearl Tricoat/Super Black;255;255;0
Ikon Gold Metallic;255;215;0
Imola Red;255;0;0
Imola Red Nappa Leather;255;0;0
Impala Brown;101;67;33
Impala Brown/Black;50;33;16
Imperial Black;0;0;0
Imperial Blue;0;0;205
Imperial Blue Metallic;0;0;205
Imperial Blue Metallic w/ Frozen Grey Accent;112;128;144
Imperial Blue Metallic w/Frozen Gray Accent;112;128;144
Imperial Jade;0;128;128
Imperial Red;255;0;0
Impulse Red Metallic;255;0;0
Imron;128;128;128
In-Violet Clearcoat;148;0;211
Inca Gold;218;165;32
Inca Gold Pearlcoat;218;165;32
Includes (BQU) Dark Cocoa Ash Lower Accent Color.;92;64;51
Includes (Cm5) Black Carbon Metallic Lower Exterior Accent Color;0;0;0
Incognito;128;128;128
Indi Blue Metallic;0;0;205
India Ivory and Cashmere Blue;240;230;140
Indigo;75;0;130
Indigo / Linen;75;0;130
Indigo Blue;75;0;130
Indigo Blue Clearcoat;75;0;130
Indigo Blue Metallic;75;0;130
Indigo Blue Pearl;75;0;130
Indigo Blue/Brown;75;0;130
Indigo Blue/Light Frost;75;0;130
Indigo Ink Pearl;75;0;130
Indigo Lights Mica;75;0;130
Indigo Nordico &Textile;75;0;130
Indigo Sunset Blue Metallic;0;70;160
Indigo/Frost;75;0;130
Indigo/Linen;75;0;130
Indigo/Sea Salt;75;0;130
Indium Gray;128;128;128
Indium Gray Metallic;128;128;128
Indium Grey Metallic;128;128;128
Individual Aventurin Red Metallic;255;0;0
Individual Dravit Gray Metallic;112;128;144
Individual Dravit Grey Metallic;112;128;144
Individual Petrol Mica Metallic;0;128;128
Individual Platinum;192;192;192
Indus Silver;192;192;192
Indus Silver Metallic;192;192;192
Indus Silver Metallic 1ac;192;192;192
Inferno Orange;255;69;0
Inferno Orange Metallic;255;69;0
Inferno Red;255;0;0
Inferno Red Crystal PC/Light Graystone PC;112;128;144
Inferno Red Crystal PC/Mineral Gray Met CC;112;128;144
Inferno Red Crystal Pearl;255;0;0
Inferno Red Crystal Pearl Coat;255;0;0
Inferno Red Crystal Pearl Coat/light Graystone Pearl Coat;255;0;0
Inferno Red Crystal Pearlcoat;255;0;0
Inferno Red Crystal Pearlcoat/Black Vinyl Top;255;0;0
Inferno Red Tinted Pearlcoat;255;0;0
Inferno Red w/Black Roof;255;0;0
Infinite Black;0;0;0
Infinite Black   Um;0;0;0
Infinite Black (um);0;0;0
Infinite Black Clearcoat Metallic;0;0;0
Infinite Black Metallic;0;0;0
