Color;R;G;B
Smokey Amethyst Metallic;153;102;204
Smokey Blue;70;130;180
Smokey Blue Metallic;65;105;225
Smokey Granite;112;128;144
Smokey Green;85;107;47
Smokey Green Metallic;80;100;60
Smokey Grey Metallic;128;128;128
Smokey Mauve Pearl;203;153;204
Smokey Quartz Metallic;210;180;140
Smokin Asphalt;54;69;79
Smoky Granite;112;128;144
Smoky Granite Mica;112;128;144
Smoky Gray Metallic;128;128;128
Smoky Quartz;210;180;140
Smoky Topaz Metallic;205;110;0
Smyrna Green;34;139;34
Snapper Rocks Blue Metallic;0;0;205
Snazzberry Pearlcoat;255;0;127
Snow White Pearl;255;255;255
Snow White Pearl Swp;255;255;255
Snowfall Pearl;250;250;250
Snowfall Pearl - WH;250;250;250
Snowflake White Pearl;255;250;250
Snowflake White Pearl Metallic;255;250;250
Snowflake White Pearl Mica;255;250;250
Soft Beige;245;245;220
Soft Ceramic;240;240;240
Softbeige/Offblack Inlay;157;142;127
Solano Black Pearl;0;0;0
Solano Black Pearl Metallic;0;0;0
Solar;255;223;0
Solar Flare;255;140;0
Solar Flare Metallic;255;140;0
Solar Octane;255;69;0
Solar Orange;255;140;0
Solar Orange Pearl;255;160;0
Solar Silver Metallic;192;192;192
Solar Yellow;255;255;0
Solar Yellow Clearcoat;255;255;0
Solaris Orange Metallic;255;140;0
Solid Black;0;0;0
Solid Black (pbsb);0;0;0
Solid Black [Black;0;0;0
Solid Black [Black];0;0;0
Solid Gold Metallic;212;175;55
Solid Gray / Black;105;105;105
Solid Gray/Super Black;80;80;80
Solid Red;255;0;0
Solid White;255;255;255
Son of a Gun Gray Metallic;128;128;128
Soneira Red Metallic;220;20;60
Sonic Blue;0;191;255
Sonic Gray Pearl;169;169;169
Sonic Gray Pearl Ga;169;169;169
Sonic Quartz;210;180;140
Sonic Silver;192;192;192
Sonic Silver Metalic;192;192;192
Sonic Silver Metallic;192;192;192
Sonic Silver w/Black Roof;128;128;128
Sonic Silver/Jet Black;128;128;128
Sonnenbeige;245;245;220
Sonoma Red Metallic;220;20;60
Sonora Gold;212;175;55
Sonora Gold Pearl;212;175;55
Sonoran Red;255;0;0
Sophisto Gray Metallic;112;128;144
Sophisto Gray Metallic w/BMW i Frozen Blue Accent;70;130;180
Sophisto Gray Metallic w/Frozen Gray Accent;112;128;144
Soprano Silver Metallic;192;192;192
Soul Red;255;0;0
Soul Red Crystal;220;20;60
Soul Red Crystal Metallic;220;20;60
Soul Red Metallic;220;20;60
Soultronic Orange Pearl;255;140;0
Source Silver Metallic;192;192;192
South Pacific Blue;0;105;148
South Seas Blue Metallic;0;119;190
Spa Yellow Pearl;255;255;102
Space Gray;128;128;128
Space Gray Metallic;128;128;128
Space Silver;192;192;192
Space Silver Metallic;192;192;192
Space White Metallic;255;255;255
Spark Silver Metallic;192;192;192
Sparkle Silver met;192;192;192
Sparkling;255;250;250
Sparkling Black;0;0;0
Sparkling Black Mica;0;0;0
Sparkling Bronze Metallic;205;127;50
Sparkling Brown Metallic;139;69;19
Sparkling Copper Metallic;184;115;51
Sparkling Graphite Metallic;64;64;64
Sparkling Ruby;220;20;60
Sparkling Ruby Mica;220;20;60
Sparkling Sea Metallic;32;178;170
Sparkling Silver;192;192;192
Sparkling Silver Met;192;192;192
Sparkling Silver Metallic;192;192;192
Special;128;128;128
Special Dark Titanium;105;105;105
Special Edition;128;128;128
Special Exterior Color;128;128;128
Special Order Color;128;128;128
Special Order Color - 490;128;128;128
Special Order Upholstery;128;128;128
Special Paint;128;128;128
Spectra Blue Mica;65;105;225
Spectral Blue;0;191;255
Spectral Blue Metallic;65;105;225
Spectral Racing Red ChromaFlair;255;0;0
Spectrum White Pearl;255;255;255
Speed Yellow;255;215;0
Spice Orange Metallic;255;140;0
Spicy Mocha;139;69;19
Spicy Red;255;0;0
