Color;R;G;B
Magnetic G;112;128;144
Magnetic Gray;112;128;144
Magnetic Gray Metallic;112;128;144
Magnetic Gray Metallic w/Black Roof;80;80;80
Magnetic Gray Metallic w/Midnight Black Roof;80;80;80
Magnetic Gray Metallic/Midnight Black Metallic;80;80;80
Magnetic Gray Pearl;192;192;192
Magnetic Grey;112;128;144
Magnetic Grey Metallic;112;128;144
Magnetic Metallic;128;128;128
Magnetic Pearl;192;192;192
Magnetic Red;255;0;0
Magnetite;54;69;79
Magnetite Black;0;0;0
Magnetite Black Metallic;0;0;0
Magnetite Gray;112;128;144
Magnetite Gray Metallic;112;128;144
Magnetite Gray Metallic Mgm;112;128;144
Magnetite Gray Pearl;192;192;192
Magno Polar Silver;192;192;192
Mahagony/Macchiato Beige;210;180;140
Mahi Green;34;139;34
Mahogany;101;67;33
Mahogany Metallic;101;67;33
Mahogany Red;150;0;0
Mahogany Red Metallic;150;0;0
Majestic;128;128;128
Majestic Amethyst Metallic;153;50;204
Majestic Black;0;0;0
Majestic Black Metallic;0;0;0
Majestic Black Pearl;20;20;20
Majestic Black Pearl - BK;20;20;20
Majestic Blue;0;70;160
Majestic Blue Metallic;0;70;160
Majestic Plum Metallic;128;0;128
Majestic White;255;255;255
Majestic White / Black Obsidian;211;211;211
Majestic White/Black Obsidian;211;211;211
Malbec Black;0;0;0
Maldives Blue;0;0;205
Maldives Blue Metallic;0;0;205
Malt Brown;150;75;0
Mamba Green Metallic;0;100;0
Mandarin Gold Metallic;255;215;0
Manganese Gray Metallic;112;128;144
Manganese Luster;169;169;169
Mango Tango Pearl Coat (pvg);255;165;0
Mango Tango Pearlcoat;255;165;0
Manhattan Brown;101;67;33
Manhattan Gray;128;128;128
Manhattan Gray Metallic;128;128;128
Manhattan Gray Metallic / Black Roof;80;80;80
Manhattan Gray Metallic w/ Black Roof;80;80;80
Manhattan Gray Metallic/Black Roof;80;80;80
Manhattan Green Metallic;34;139;34
Manhattan Green Metallic Premium Colorant;34;139;34
Manhattan Noir Metallic;0;0;0
