Color;R;G;B
Thunderstorm Gray;112;128;144
Tide Metallic (Ice Blue);175;238;238
Tideland Pearl;240;248;255
Tidewater Blue Metallic;70;130;180
Tiger Eye Pearl;205;133;63
Tigereye Pearl;205;133;63
Timberline Green Pearlcoat;34;139;34
Titan Black;0;0;0
Titan Black (bv);0;0;0
Titan Black - BV;0;0;0
Titan Black - Leather;30;30;30
Titan Black / Crystal Grey - Cloth;64;64;64
Titan Black / Moonrock Gray;80;80;80
Titan Black / Palladium Gray;96;96;96
Titan Black / Quarzit;80;80;80
Titan Black / Shetland Gray;100;100;100
Titan Black Cloth;50;50;50
Titan Black Leather;30;30;30
Titan Black Leatherette;40;40;40
Titan Black Lthrette;40;40;40
Titan Black Perforated Leatherette;35;35;35
Titan Black V-Tex;0;0;0
Titan Black Vienna Leather;30;30;30
Titan Black W Seating Surfaces;45;45;45
Titan Black W/ Blue Under;0;0;128
Titan Black W/ Quartzite Accents;70;70;70
Titan Black W/Accents;60;60;60
Titan Black W/Quartzite;70;70;70
Titan Black W/Red;139;0;0
Titan Black W/Red Stitch;139;0;0
Titan Black w/Accents;60;60;60
Titan Black w/Blue;0;0;128
Titan Black w/Blue Accents;0;0;139
Titan Black w/Clark Plaid;105;105;105
Titan Black w/Gray Contrast Stitching;128;128;128
Titan Black w/Orange Stitching;255;69;0
Titan Black w/Quartz;112;128;144
Titan Black w/Quartzite;112;128;144
Titan Black w/Quartzite Accents;112;128;144
Titan Black w/Rabbit Edition Accents;128;128;128
Titan Black w/Red Piping;139;0;0
Titan Black w/Red Stitch;139;0;0
Titan Black w/Red Stitching;139;0;0
Titan Black w/Silver;192;192;192
Titan Black/ Clark Plaid;105;105;105
Titan Black/Moonrock Gray;80;80;80
Titan Black/Palladium Gray;96;96;96
Titan Black/Quartz;112;128;144
Titan Black/Scalepaper Plaid;105;105;105
Titan Blk V-Tex Lthette;0;0;0
Titan Blk w/Blue Accents;0;0;128
Titan Blk/Scalepaper Pld;105;105;105
Titan Gray;128;128;128
Titan Gray/Black;64;64;64
Titanium;211;211;211
Titanium / Dark Titanium;169;169;169
Titanium Beige;222;184;135
Titanium Blue Metallic;65;105;225
Titanium Bronze;205;127;50
Titanium Bronze Pearl Metallic;205;127;50
Titanium Flash Mica;192;192;192
Titanium Glow;220;220;220
Titanium Gray;169;169;169
Titanium Gray / Black;128;128;128
Titanium Gray / Steel Gray;112;128;144
Titanium Gray Im;169;169;169
Titanium Gray Metallic;169;169;169
Titanium Gray/Black;128;128;128
Titanium Gray/Dark Carpet;105;105;105
Titanium Green Clearcoat Metallic;0;128;0
Titanium Green Metallic;0;128;0
Titanium Grey;169;169;169
Titanium Grey/Black;128;128;128
Titanium Grey/Black - 258;128;128;128
Titanium Leather Interior;160;82;45
Titanium Metallic;211;211;211
Titanium Pearl;240;248;255
Titanium Rush;192;192;192
Titanium Rush Metallic;192;192;192
Titanium Rush Metallic G6m;192;192;192
Titanium Silver;192;192;192
Titanium Silver Metallic;192;192;192
Titanium Silver Metallic with Black Soft Top;128;128;128
Titanium w/Dark Titanium Accents;169;169;169
Titanium/Black;64;64;64
Titanium/Dark Titanium Accents;169;169;169
Titanium/Ebony Accents;64;64;64
Toasted Caramel;210;105;30
Toasted Caramel/Sand Top;210;105;30
Toasted Coconut Metallic;222;184;135
Toasted Marshmallow;245;245;220
Toasted Marshmallow Metallic;245;245;220
Tofana White Crystal Effect;255;255;255
Toffee;139;69;19
Toffee Brown Metallic;139;69;19
Toffee Brown Metallic/Beige Roof;160;82;45
Toffee/Carbon Black;54;69;79
Toffee/Cognac/Alloy;160;82;45
Toledo Blue Metallic;70;130;180
Tonic Yellow Pearl;255;215;0
Tonka Brown/Black;101;67;33
Topaz;255;200;0
Topaz Blue Metallic;70;130;180
TorRed Exterior;255;0;0
Torch Red;255;0;0
Torch Red Clearcoat;255;0;0
Torch Red Leather;220;20;60
Torched Steel Blue Pearl;70;130;180
Toreador Red;220;20;60
Toreador Red Metallic;220;20;60
Tornado Gray Metallic;128;128;128
Tornado Red;255;0;0
Tornado Red w/ Black Top;128;0;0
Tornado Red/Black;128;0;0
Tornado Red/Black Roof;128;0;0
Toronto Red;255;0;0
Toronto Red Metallic;220;20;60
Torred;255;0;0
Torred Clearcoat;255;0;0
Toscana Tan/Off-Black;210;180;140
Touring;128;128;128
Touring Black;0;0;0
Touring Brown;139;69;19
Tourmaline Blue;0;191;255
Tourmaline Blue Metallic;65;105;225
Toxic Orange Pearlcoat;255;69;0
Track bRed;255;0;0
Trade;128;128;128
Trans;192;192;192
Transmission Blue;0;0;205
Trd Off-Road Fabric In Ce;128;128;128
Trdusd Trade-in;128;128;128
Triathlon Gray Metallic;169;169;169
Tribeca Blue;70;130;180
Tribeca Blue Metallic;65;105;225
Tribeca Blue Metallic - 1FV;65;105;225
Trimmed Bucket Se;128;128;128
Trimmed Low Back Front Bucket Seats;128;128;128
Triple Nickel;192;192;192
Triple Nickel Cle;192;192;192
Triple Nickel Clearcoat;192;192;192
Triple Yellow Metallic Tri-Coat;255;215;0
Triple Yellow Tri-Coat;255;215;0
Tropical Red;255;0;0
True Blue Clearcoat Metallic;70;130;180
True Blue Metallic;0;0;255
True Blue Pearl;100;149;237
True Blue Pearlcoat;100;149;237
True Red;255;0;0
True Silver Metallic;192;192;192
Trueno Blue;70;130;180
Truffle;112;66;20
Truffle Brown;112;66;20
Truffle Brown Cohiba Brown;112;66;20
Truffle Brown/Black;64;64;64
Truffle Brown/Cohiba;112;66;20
Truffle Brown/Cohiba Brown;112;66;20
Truffle Mica;112;66;20
Tsukuba Red;255;0;0
Tucsan Umber;101;67;33
Tungsten;105;105;105
Tungsten / Black;64;64;64
Tungsten Clearcoat Metallic;128;128;128
Tungsten Gray;112;128;144
Tungsten Gray Clearcoat Metallic;112;128;144
Tungsten Metallic;128;128;128
Tungsten Metallic Clearcoat;128;128;128
Tungsten Pearl;240;248;255
Tungsten Silver Metallic;192;192;192
Tungsten/Black;64;64;64
Tunja Black, cloth;0;0;0
Tupelo;139;69;19
Tupelo/Black;64;64;64
Turbo Blue;0;0;205
Turbo Blue/Black Roof;0;0;205
Turbulence Gray;128;128;128
Turqouise;64;224;208
Turquois & Arctic White;224;255;255
Turquois & White;224;255;255
Turquoise;64;224;208
Turquoise Metallic;72;209;204
Tuscadero Pearlcoat;255;250;250
Tuscan Beige;222;184;135
Tuscan Bronze ChromaFlair;205;127;50
Tuscan Brown;160;82;45
Tuscan Brown Fine Nappa leather seats;160;82;45
Tuscan Pearl;240;248;255
Tuscan Sun Metallic;212;175;55
Tuscan Umber;101;67;33
Tuscan Umber/Off-Black;101;67;33
Tusk White;255;250;250
Tuxedo Black;0;0;0
Tuxedo Black Clearcoat Metallic;0;0;0
Tuxedo Black Metallic;0;0;0
Tuxedo Black Metallic   Uh;0;0;0
Tuxedo Black Metallic/Caribou Metallic;0;0;0
Tweed;139;69;19
Twilight Black;0;0;0
Twilight Black S3b;0;0;0
Twilight Blue;70;130;180
Twilight Blue Metalic;65;105;225
Twilight Blue Metallic;65;105;225
Twilight Blue Pearl;100;149;237
Twilight Bronze Me;205;127;50
Twilight Bronze Metallic;205;127;50
Twilight Gray;112;128;144
Twister Orange Tri-Coat;255;69;0
Two Tone Blue Metallic R-Code;0;0;205
Two tone green.;0;128;0
Two-Tone Beige/Black;210;180;140
Two-Tone Black/Gray;64;64;64
Two-Tone Brown/Black;101;67;33
Two-Tone Gray;128;128;128
Two-Tone Gray & Black;128;128;128
Two-Tone Gray Cloth;128;128;128
Typhoon Gray Metallic;112;128;144
Typhoon Metallic;112;128;144
Typhoon Silver;192;192;192
UD;128;128;128
UNDERGROUND;64;64;64
UNV Ethereal Frost Silver SV Bespoke Ultra Met Gls;192;192;192
Ultimate Red;255;0;0
Ultimate Red Metallic;220;20;60
Ultimate red;255;0;0
Ultra Black;0;0;0
Ultra Black Pearl;0;0;0
Ultra Blue;0;0;255
Ultra Blue Metallic;65;105;225
Ultra Dark Space Gray;64;64;64
Ultra Red;255;0;0
Ultra Silver Metallic;192;192;192
Ultra White;255;255;255
Ultra White w/Black Roof;245;245;245
Ultra White w/Obsidian Roof;230;230;230
Ultra White with Obsidian;230;230;230
Ultrasonic Blue 2.0;70;130;180
Ultrasonic Blue Mica;65;105;225
Ultrasonic Blue Mica 2.0;65;105;225
Umber;101;67;33
Umber Black;64;64;64
Umber/Light Tartufo;112;128;144
Umbria Gray Metallic;112;128;144
Umbria Twilight;112;128;144
Underground;64;64;64
Underground Gray/Midnight Black Metallic;64;64;64
Underground [Black;0;0;0
Underground/Midnight Black Metallic;64;64;64
Uni Black;0;0;0
Uni-Red;255;0;0
United Gray;128;128;128
United Gray Metallic;128;128;128
Unk;128;128;128
Unspecified;128;128;128
Urano Gray;112;128;144
Urban Gray;128;128;128
Urban Gray Metallic;128;128;128
Urban Gray Pearl;169;169;169
Urban Gray Pearl [Gr;169;169;169
Urban Green;0;128;0
Urban Grn W/Lt Flint Stch;128;128;128
Urban Sunset;255;140;0
Urban Titanium Metallic;192;192;192
Utah Orange Metallic;255;140;0
Utopia Blue Metallic;65;105;225
VAPOUR GRAY;128;128;128
VARESINE BLUE;0;0;255
VARESINE BLUE METALLIC [BLUE];65;105;225
VELOCITY BLUE;70;130;180
VENETIAN LTHR RHAPSODY BLUE;70;130;180
VENETIAN RED METALLIC;220;20;60
VINYL BLACK SEATS;0;0;0
VINYL GRAY/BLACK SEATS;64;64;64
VOLCANO GREY;112;128;144
VOLCANOGREY;112;128;144
Valais Green;34;139;34
Valais Green/Black Roof;34;139;34
Valencia Orange;255;165;0
Valencia Orange Metallic;255;165;0
Valloire White Pearl;255;250;250
Valloire White Pearlescent;255;250;250
Vanadium Grey Metallic;128;128;128
Vanilla;245;245;220
Vanilla Latte;245;245;220
Vanilla Latte Metallic;245;245;220
Vanilla/Onyx;128;128;128
Vapor Blue;70;130;180
Vapor Blue Metallic;70;130;180
Vapor Clearcoat Metallic;192;192;192
Vapor Gray;192;192;192
Vapor Gray Metallic;192;192;192
Vapor Grey;192;192;192
Vapor Grey Metallic;192;192;192
Vapour;128;128;128
Vapour Gray;128;128;128
Vapour Gray Metallic;128;128;128
Vapour Grey;128;128;128
Vapour Grey Metallic;128;128;128
Varesine Blue;0;0;255
Varesine Blue Metallic;65;105;225
Varesine Blue Metallic - 1EH;65;105;225
Vector Blue Metallic;70;130;180
Vegas Red;255;0;0
Vegas Red Metallic;220;20;60
Vegas Yellow;255;255;0
Velocity;70;130;180
Velocity Blue;70;130;180
Velocity Blue Metallic;65;105;225
Velocity Blue SV Bespoke Ultra Metallic Satin;65;105;225
Velocity Red;255;0;0
Velocity Red Mica;220;20;60
Velocity Red Mica/Black;128;0;0
Velocity Yellow Tintcoat;255;255;0
Velvet;128;0;128
Velvet Beige;210;180;140
Velvet Beige/Brown;210;180;140
