Color;R;G;B
Quilted Graphite;70;70;70
R-568px/Performanc;255;0;0
R2t;200;0;0
R780/Charcoal;54;69;79
RACE RED;255;0;0
RAM;128;128;128
RAPID RED MET TINTED CC;255;0;0
RAPID RED TINTED CC;255;0;0
RD;255;0;0
RED;255;0;0
RED / BLACK;128;0;0
RED CARPET;200;0;0
RED CARPET MET;200;0;0
RED CAYENNE;150;20;20
RED LEATHER;180;0;0
RED PERFORATED MILANO PRE;200;0;0
RED-BLACK;128;0;0
RED/BLACK;128;0;0
RED/Red;255;0;0
RED/SILVER;224;64;64
REDWOOD;164;90;82
RIOJA RED;150;0;0
ROAST LEATHER SEAT SURFACES;101;67;33
ROAST LEATHER SEATS;101;67;33
ROOFTOP_GREY;128;128;128
RUBY FLARE PEARL;220;20;60
RUBY RED;220;20;60
RUBY RED METALLIC;220;20;60
RUBY RED METALLIC TINTED CC;220;20;60
RUBY RED TINTED CLEARCOAT;220;20;60
RV Match Walnut Brown Metallic Clearcoat;133;94;66
Race Red;255;0;0
Racing Gray Metallic;169;169;169
Racing Green;0;128;0
Racing Green Metallic;34;139;34
Racing Grey Metallic;169;169;169
Racing Red;255;0;0
Racing Yellow;255;255;0
Radar Red/Dark Slate Gray;151;40;40
Radiance;255;255;224
Radiance Metallic;255;250;205
Radiant Bronze;205;127;50
Radiant Red;220;20;60
Radiant Red Metallic;220;20;60
Radiant Red Metallic II;220;20;60
Radiant Red Metallic Ii;220;20;60
Radiant Red Tintcoat;220;20;60
Radiant Silver;192;192;192
Radiant Silver Metallic;192;192;192
Radiant Silver Metallic Gan;192;192;192
Radiant White;255;255;255
Radiant White/Black Obsidian;128;128;128
Rain Forest Green Metallic;31;76;48
Rainforest;34;139;34
Rainforest Green Metallic;34;139;34
Rakuda Tan;210;180;140
Rally Green Metallic;0;100;0
Rally Red;255;0;0
Rally Red Metallic;255;0;0
Rally Yellow;255;255;0
Rallye Red;255;0;0
Rallye Red Pearl;220;20;60
Rapid Blue;0;0;205
Rapid Red Met T;255;0;0
Rapid Red Metallic Tinted Clearcoat;255;0;0
Rapid Red Tinted;255;0;0
Rapid Red Tinted CC;255;0;0
Rave Red Pearl;220;20;60
Raven;0;0;0
Raven Black;0;0;0
Raven Blue;0;0;139
Raven Blue/Ebony;0;0;139
Re;255;0;0
Re/Performance Red;255;0;0
Reactor Blue Pearl;65;105;225
Reactor Blue Pearlcoat;65;105;225
Rebel Blue;70;130;180
Recaro Charcoal Black with Silver Accents;54;69;79
Recon Green Clearcoat;34;139;34
Red;255;0;0
