Color;R;G;B
Light Brownstone Pearlcoat;203;189;147
Light Camel;210;180;140
Light Cashmere;245;245;220
Light Cashmere / Medium Cashmere;240;230;210
Light Cashmere w/Medium Cashmere Accents;240;230;210
Light Cashmere with;240;230;210
Light Cashmere with Medium Cashmere Accents;240;230;210
Light Cashmere/Cocoa;230;200;170
Light Cashmere/Dark Cashmere;220;210;200
Light Cashmere/Medium Cashmere Accents;240;230;210
Light Charcoal;169;169;169
Light Cloud;211;211;211
Light Cloud/Cinder Gray/Cinder Gray;190;190;190
Light Cloud/Ebony;180;180;180
Light Cloud/Ebony - 303UV;180;180;180
Light Cloud/Ebony Perforated Ultraf;180;180;180
Light Cloud/Lunar;245;245;245
Light Coffee;150;111;51
Light Driftwood Satin Glow;160;130;100
Light Dune;210;180;140
Light Dune Premium;210;180;140
Light Earth Gray Inserts w/Dark Earth Gray Bolster;128;128;128
Light Flint;112;128;144
Light Frost;240;248;255
Light Frost Beige;245;245;220
Light Frost Beige / Black;245;245;220
Light Frost Beige / Dark Frost Beig;245;245;220
Light Frost Beige/Black;245;245;220
Light Frost Beige/Canyon Brown;210;180;140
Light Frost Beige/Dark Frost Beige;245;245;220
Light Frost Beige/Mountai;230;220;200
Light Frost Beige/Mountain Brown;210;180;140
Light Frost Beige/dark Frost;245;245;220
Light Frost/Black;240;248;255
Light Frost/Brown;240;248;255
Light Graphite;150;160;170
Light Gray;211;211;211
Light Gray / Charcoal;169;169;169
Light Gray Cloth;211;211;211
Light Gray Leather;211;211;211
Light Gray Leather Shimamoku Espresso;101;67;33
Light Gray w/Shimamoku;150;150;150
Light Gray with Leather-Appointed Seat Trim;211;211;211
Light Gray/Ebony;105;105;105
Light Gray/Moonstone;176;196;222
Light Graystone Pearlcoat;211;211;211
Light Green;144;238;144
Light Grey;211;211;211
Light Grey Metallic;192;192;192
Light Grey/Black Pearl;128;128;128
Light Ice Blue;173;216;230
Light Ice Blue Clearcoat Metal;173;216;230
Light Ice Blue Clearcoat Metallic;173;216;230
